"","nutrient","Mean","SD","Min","Max"
"1","C",0.650343915343915,0.52642726278945,0.116,3.83
"2","Cu",9.33109192398234,8.05912453205811,0.00690374590348973,51.1384506766781
"3","Fe",18.0309837186494,7.72709374713931,3.95371934286022,47.8712311279915
"4","Mn",7.41848294878371,5.26589658159983,0.600303153092312,23.8026624550425
"5","N",0.0732116402116402,0.0687171017764189,0,0.473
"6","P",1.56095764614674,0.913729139124795,0.308695652173913,4.73108695652174
"7","Zn",1.60005313191834,0.979569327322696,0.0667979865602451,4.96283806088787
