"","Nutrient","N° of Comp","RMSE cal","R square cal","RPD cal","RMSE val","R square val","RPD val"
"Phosphorus","P","7","0.377099128242767","0.828215616704945","2.42178028070822","0.328709147436779","0.877444597343838","2.81069691770611"
"Nitrogen","N","7","0.0174743050960033","0.934312118591739","3.91637212843139","0.0174033287051886","0.939046347033129","4.01921964236284"
"Carbon","C","7","0.142107236510822","0.924583120921828","3.65504140022521","0.151521025429815","0.923487674732037","3.5919689542218"
"Iron","Fe","7","5.10581062096012","0.532333564514426","1.46777159199535","6.8131523538086","0.318449642878354","1.20633093903515"
"Manganese","Mn","7","2.12518966617834","0.837528847186525","2.49022419088618","2.00189378664737","0.854358345548866","2.60186380505696"
"Cupper","Cu","5","6.36723680135325","0.36700931205846","1.26161812070211","6.62701681837612","0.329263800416641","1.2204419567436"
"Zinc","Zn","6","0.592418838013449","0.634094018179069","1.65936461208255","0.804005449327392","0.329186994574995","1.21066736431333"
