"","Nutrient","N° of Comp","RMSE cal","R square cal","RPD cal","RMSE val","R square val","RPD val"
"Phosphorus","P","7","0.422390232168373","0.758438212970031","2.0423830657074","0.489457434370149","0.680390690253487","1.7677263861211"
"Nitrogen","N","7","0.021019545950894","0.902519203553117","3.215173674591","0.0262837175603652","0.859051830010357","2.14294663898389"
"Carbon","C","7","0.172486620407323","0.891760477807697","3.05120254848929","0.239455753073246","0.808386162598059","1.58254771818926"
"Iron","Fe","3","5.83439601480681","0.383531132457574","1.27848531283904","6.91443559045437","0.141948701341482","1.01417024297035"
"Manganese","Mn","7","1.9717970752758","0.85757424245388","2.65984940638834","2.6853753091485","0.688442173179294","1.75773029788456"
"Cupper","Cu","7","6.28494190186753","0.403030302109866","1.29919749431031","6.53693870752005","0.279737570126727","1.18877567228576"
"Zinc","Zn","7","0.678309735738315","0.515432939261162","1.44203025825873","0.677326497238296","0.456330264290679","1.35076773113354"
