"","Nutrient","N° of Comp","RMSE cal","R square cal","RPD cal","RMSE val","R square val","RPD val"
"Phosphorus","P","7","0.398455187278741","0.785039100447096","2.16506820551795","0.420685629009214","0.771354151607715","2.05670639060574"
"Nitrogen","N","7","0.0190049274560432","0.920309814039711","3.55599835618845","0.0285254981433158","0.857285078707551","1.97453534108342"
"Carbon","C","7","0.140509798273175","0.928172911778436","3.74558658709286","0.259347419225517","0.811474404869059","1.46116802228072"
"Iron","Fe","7","4.84441795385894","0.574986670114563","1.53974939513123","5.17131646064381","0.47617496659069","1.35602121358106"
"Manganese","Mn","7","2.00721466389782","0.852411763292612","2.61291598478358","2.79619999857093","0.671813363934149","1.68806435322717"
"Cupper","Cu","7","6.63449462504941","0.33477977426062","1.23074645956645","6.12822537113386","0.406562768353154","1.26805938687029"
"Zinc","Zn","7","0.69855095967083","0.486081827237746","1.40024596611685","0.649617166244016","0.500275141759192","1.40838454316267"
